Season,Name,Team,K%+,BB%+,AVG+,SLG+,NameASCII,PlayerId,MLBAMID
2019,"Jake Arrieta","PHI",173.84606709034657,22.57361723111616,60.32053701714837,39.94349825164551,"Jake Arrieta",4153,453562
2017,"Alex D. Mejia","STL",126.31979573356848,45.3652580736244,41.59631757144295,39.77682494926176,"Alex D. Mejia",13877,622270
2020,"Hernán Pérez","CHC",144.25759484251805,0,67.62364739488515,39.568189728480945,"Hernan Perez",5751,541650
2018,"Eric Sogard","MIL",94.33642276384595,118.32988718739672,52.81466179693239,39.5461996768548,"Eric Sogard",7927,519299
2019,"Andrew Velazquez","- - -",236.9020675387977,49.008816048450285,34.27022644543496,39.51732198933645,"Andrew Velazquez",14196,623205
2016,"Chris Sale","CHW",161.3545915604978,0,64.7379202663475,39.321279742920694,"Chris Sale",10603,519242
2017,"Jeff Samardzija","SFG",177.65987357857637,0,35.87682396277247,39.310690389992,"Jeff Samardzija",3254,502188
2016,"Bartolo Colon","NYM",299.94903085594956,17.803649260088687,31.993849931135316,39.18316663335343,"Bartolo Colon",375,112526
2016,"Nick Noonan","SDP",121.85429386138844,57.86186154183477,63.987699862270645,39.18316663335343,"Nick Noonan",6880,519082
2016,"Mike Foltynewicz","ATL",220.49824584921063,27.553266464062602,53.32308309058347,39.18316663335343,"Mike Foltynewicz",10811,592314
2016,"Jacob deGrom","NYM",116.9801221069329,69.43423385020172,54.84659977225307,39.18316663335343,"Jacob deGrom",10954,594798
2016,"Yusmeiro Petit","WSN",139.26204977914597,0,63.987699862270645,39.18316663335342,"Yusmeiro Petit",4020,433589
2016,"Charlie Morton","PHI",208.8930749124275,0,63.987699862270645,39.18316663335342,"Charlie Morton",4676,450203
2016,"Austin Hedges","SDP",131.22770096901434,0,47.99077508866609,39.18316663335342,"Austin Hedges",12976,595978
2016,"Micah Johnson","LAD",81.23619558264751,0,63.987699862270645,39.18316663335342,"Micah Johnson",13809,608672
2018,"Chris Stratton","SFG",241.00905225411287,0,54.98771580444086,39.02888018656572,"Chris Stratton",13761,608717
2018,"Walker Buehler","LAD",207.08633756571598,47.415876354022465,64.15233517086078,39.02888018656572,"Walker Buehler",19374,621111
2017,"Jordan Zimmermann","DET",78.26894449778844,0,65.04820931447635,38.7706121961739,"Jordan Zimmermann",4505,519455
2017,"Justin Verlander","- - -",313.07577893038115,0,65.04820931447635,38.7706121961739,"Justin Verlander",8700,434378
2017,"Billy Burns","KCR",78.26894449778844,0,65.04820931447635,38.7706121961739,"Billy Burns",12701,542993
2019,"Dereck Rodríguez","SFG",268.18358781799947,0,66.85773827185699,38.73830664028986,"Dereck Rodriguez",14509,605446
2016,"Mike Leake","STL",168.38047856872896,63.122030141690345,54.84659977225307,38.383510296194665,"Mike Leake",10130,502190
2018,"Tyler Chatwood","CHC",86.90230249547339,34.821034597927145,63.05258111486386,38.359813828000966,"Tyler Chatwood",4338,543022
2018,"Zach Eflin","PHI",287.35694691836534,0,35.825329820646616,38.14186031854652,"Zach Eflin",13774,621107
2017,"Lisalverto Bonilla","CIN",178.54817311787548,138.9311046565791,63.78102012313808,38.119457195393196,"Lisalverto Bonilla",11266,570810
2017,"Zach Davies","MIL",103.50618714910051,112.7556787388726,47.835765283696624,38.119457195393196,"Zach Davies",13183,605200
2017,"Brent Suter","MIL",181.3822706504178,0,63.78102012313808,38.119457195393196,"Brent Suter",13942,608718
2017,"Hyun Jin Ryu","LAD",225.53453421409085,87.74596036775571,51.0248161750477,38.119457195393196,"Hyun Jin Ryu",14444,547943
2017,"Julio Urías","LAD",272.0734064517552,0,63.78102012313808,38.119457195393196,"Julio Urias",14765,628711
